 ,Area,Mean,Min,Max,Length
1,43,179.523,171.500,195.731,42.726
2,6,149.754,130.640,165.312,5.047
3,22,208.355,176.562,216.220,21.409
4,38,192.830,184.650,205.775,37.936
5,15,148.055,118.580,155.340,14.912
6,51,125.385,75.890,165.720,50.881
7,26,138.637,101.000,165.800,25.509
8,166,134.705,97.630,163.810,165.757
9,73,106.326,71.650,141.000,72.140
10,158,145.700,93.150,212.110,157.866
11,45,141.420,112.008,147.410,44.561
12,30,129.739,110.500,148.016,29.417
13,25,164.881,128.625,186.928,24.426
14,40,200.811,164.977,226.152,39.277
15,43,145.382,134.070,168.125,42.729
16,8,179.273,165.125,189.500,7.314
17,20,134.988,109.865,159.750,19.380
18,7,156.580,150.562,161.812,6.750
19,54,187.750,164.280,201.000,53.509
20,7,195.667,193.500,198.850,6.823
21,80,177.403,154.100,199.438,79.086
22,13,177.035,173.630,187.562,12.343
23,21,128.126,115.988,133.217,20.427
24,21,135.940,130.766,140.560,20.219
25,6,127.217,119.875,131.365,5.539
26,38,144.413,127.540,157.547,37.280
27,21,167.863,154.300,174.000,20.719
28,122,133.024,112.000,149.550,120.320
29,58,176.538,166.250,196.335,58.010
30,7,188.319,176.697,195.743,6.180
31,3,165.869,160.250,170.410,2.742
32,42,192.822,176.021,214.750,41.590
33,15,202.291,171.760,219.860,14.252
34,45,178.605,137.315,198.910,44.389
35,45,198.666,183.650,208.500,44.837
36,9,172.049,160.833,176.666,8.177
37,32,122.859,113.382,134.774,31.253
38,7,133.369,126.893,136.667,6.493
39,27,90.900,66.070,99.969,27.064
40,18,105.312,81.001,122.000,17.839
41,32,114.176,98.260,135.528,31.338
42,46,124.954,114.500,132.530,45.294
43,25,129.973,124.000,137.000,24.665
44,16,129.855,124.860,135.240,15.590
45,69,119.746,109.260,134.270,68.677
46,84,156.158,135.208,170.646,83.090
47,7,204.139,179.137,220.821,6.957
48,60,168.971,131.279,187.692,59.912
49,40,160.856,155.750,168.980,39.978
50,9,148.333,133.750,158.250,8.500
51,19,144.499,115.434,153.735,18.522
52,17,158.362,149.718,177.500,17.275
53,12,146.447,137.517,152.333,11.553
54,71,178.328,156.840,214.763,69.812
55,28,180.353,147.188,191.753,27.122
56,72,176.137,167.000,195.328,71.808
57,29,131.785,119.715,140.670,28.326
58,9,153.636,129.611,168.800,8.698
59,15,145.170,141.000,149.360,14.215
60,39,180.158,126.833,199.933,38.765
61,91,196.437,160.533,228.550,90.927
62,46,166.364,150.190,185.235,45.966
63,12,152.871,144.625,157.085,11.828
64,36,161.621,152.750,175.919,34.686
65,39,150.724,134.000,162.490,38.614
66,42,159.830,154.109,167.000,41.026
67,65,147.987,136.333,155.865,64.309
68,16,181.225,168.083,185.812,15.387
69,6,171.014,153.531,180.085,5.763
70,60,146.824,132.000,160.375,59.048
71,64,135.907,124.443,160.667,63.628
72,19,121.289,105.383,133.500,18.842
73,14,128.871,125.361,132.472,13.070
74,12,126.956,117.453,140.685,11.790
75,73,111.245,102.005,129.411,72.606
76,14,122.561,110.500,130.600,13.889
77,33,145.472,129.188,155.405,32.682
78,72,166.064,144.000,194.000,71.682
79,24,142.541,126.430,153.750,23.359
80,49,145.010,135.720,158.790,48.402
81,67,168.759,134.090,186.000,66.369
82,33,170.291,158.223,180.440,32.465
83,54,162.707,132.565,180.400,53.212
84,7,151.487,145.890,155.000,7.080
85,19,145.199,118.961,162.350,18.891
86,43,151.780,131.312,174.671,42.756
87,48,158.183,143.250,172.367,47.956
88,55,152.526,111.438,172.000,54.136
89,40,142.705,112.710,162.023,39.983
90,8,145.365,118.833,177.000,7.806
91,51,180.044,148.781,201.338,50.223
92,43,177.079,168.323,192.060,42.288
93,32,204.838,198.500,211.964,31.313
94,26,211.156,195.667,224.405,25.256
95,85,159.522,118.999,169.920,84.283
96,7,186.795,163.250,205.440,6.385
97,29,185.276,162.250,208.820,28.526
98,77,184.429,154.125,206.897,76.886
99,9,200.346,169.518,215.660,8.332
100,85,183.487,141.960,210.840,83.700
101,52,169.492,162.686,183.700,51.249
102,11,151.176,141.834,161.323,10.721
103,46,176.798,165.667,195.000,45.571
104,3,189.472,186.750,190.833,2.667
105,131,163.382,148.223,182.082,130.198
106,16,144.601,124.667,151.127,15.984
107,30,153.714,141.250,180.011,29.073
108,174,159.144,134.000,176.188,173.233
109,61,160.620,148.500,178.120,60.605
110,39,140.156,134.500,147.483,38.401
111,7,136.169,127.024,141.917,6.396
112,47,123.852,102.750,138.755,46.367
113,7,132.468,128.765,136.750,7.000
114,70,153.659,129.717,195.112,69.851
115,36,124.092,103.500,150.583,35.586
116,17,159.401,142.273,170.780,16.433
117,33,148.729,133.111,163.427,31.963
118,28,154.424,147.805,165.500,27.029
119,80,169.585,145.333,180.667,79.103
120,42,172.074,166.000,186.329,40.793
121,15,185.350,170.576,203.566,14.904
122,106,168.403,158.360,184.968,105.547
123,5,179.291,173.060,183.875,4.901
124,83,205.255,176.625,213.750,83.014
