 ,Area,Mean,Min,Max,Length
1,11,173.429,164.092,182.167,10.892
2,16,199.678,167.375,223.125,15.511
3,4,105.062,94.000,112.125,3.125
4,14,175.388,136.281,204.506,13.024
5,4,150.109,126.125,161.625,3.640
6,11,168.248,146.300,183.078,10.722
7,79,160.086,136.155,195.056,78.667
8,18,158.638,156.250,160.507,18.000
9,66,124.144,101.000,159.743,65.592
10,42,168.709,146.560,191.143,41.762
11,37,134.826,107.500,177.702,36.578
12,45,145.119,86.790,170.000,44.980
13,50,169.571,151.880,198.630,49.199
14,39,176.062,163.060,190.625,38.009
15,30,170.416,152.050,182.250,29.555
16,14,156.856,141.750,163.883,13.288
17,66,154.977,125.750,178.620,65.204
18,43,156.490,135.500,178.545,42.137
19,162,159.139,137.739,189.500,160.988
20,4,154.122,139.749,167.100,3.054
21,142,167.145,148.320,193.489,141.670
22,56,160.503,130.866,167.333,55.530
23,29,158.316,112.650,166.845,28.429
24,22,162.420,138.750,176.325,21.448
25,94,190.828,162.625,225.337,93.466
26,23,135.757,115.040,168.562,22.721
27,33,147.663,141.600,159.600,32.724
28,43,161.537,156.005,175.465,41.626
29,11,167.062,152.000,180.000,9.834
30,18,171.491,155.500,184.710,17.776
31,21,167.142,161.875,170.710,20.100
32,52,172.299,164.532,180.694,51.259
33,90,159.610,136.643,182.500,88.905
34,10,148.212,139.758,158.775,9.101
35,26,151.291,142.000,163.930,25.271
36,29,165.563,140.000,186.240,27.298
37,18,157.469,153.260,163.750,16.877
38,57,186.525,153.611,206.192,55.492
39,133,211.376,193.470,225.196,129.923
40,32,183.035,171.000,194.840,31.078
41,11,165.533,148.300,188.000,10.312
42,61,154.182,139.835,167.025,59.409
43,63,173.806,154.168,191.540,62.726
44,32,178.946,175.029,184.183,31.738
45,107,173.316,149.033,191.491,106.380
46,51,187.956,172.583,194.562,50.715
47,45,202.980,194.883,215.860,44.762
48,40,208.119,195.483,219.723,39.238
49,50,205.631,195.334,217.458,49.962
50,8,218.189,213.000,221.693,7.380
51,87,188.901,180.677,196.779,85.959
52,38,168.622,160.618,173.167,37.691
53,113,163.148,139.708,186.867,111.755
54,41,176.293,170.842,185.208,40.564
55,19,150.632,132.823,161.858,18.172
56,63,171.853,168.000,180.000,62.500
57,17,156.790,149.775,163.950,16.910
58,38,175.276,152.438,186.380,37.595
59,6,175.415,172.000,179.000,5.837
60,24,174.756,164.500,183.750,23.730
61,9,192.631,183.188,197.549,8.902
62,42,169.141,159.586,185.033,41.361
63,130,187.208,161.390,197.595,129.118
64,34,194.807,177.180,206.089,33.461
65,21,166.721,163.494,177.667,20.693
66,115,163.789,142.424,200.177,113.543
67,47,171.887,151.737,192.167,46.340
68,21,182.160,162.500,203.080,20.667
69,20,145.700,140.667,149.917,19.865
70,28,154.544,148.285,161.390,27.032
71,34,177.702,161.815,192.500,32.948
72,106,187.679,161.488,216.742,105.506
73,107,179.915,164.356,195.993,105.312
74,38,157.613,134.750,182.930,37.145
75,58,137.575,123.790,171.166,57.562
76,57,151.410,140.410,168.417,56.314
77,19,167.319,153.750,175.855,18.030
78,3065857,149.343,0.000,255.000,0.000
79,17,179.337,168.139,189.400,16.463
80,49,189.791,177.754,206.250,48.310
