 ,Label,Area,Length
1,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0266-0116,2.132,2.920
2,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0324-0110,1.599,1.608
3,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0442-0102,1.599,1.608
4,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0505-0093,1.599,2.181
5,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0627-0044,1.066,1.303
6,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0795-0020,3.730,4.528
7,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0796-0064,2.132,2.291
8,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0817-0149,2.132,2.499
9,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0826-0199,1.066,1.217
10,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0839-0256,1.599,1.837
11,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0856-0363,1.599,1.947
12,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0871-0458,2.132,2.458
13,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0885-0517,1.599,1.499
14,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0924-0624,1.599,1.566
15,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0917-0799,1.066,1.546
16,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0655-0853,1.599,2.268
17,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0536-0885,1.599,1.738
18,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0571-1149,2.132,2.220
19,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0705-1162,2.132,2.843
20,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0810-1167,1.599,1.855
21,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0855-1173,1.066,1.321
22,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0901-1180,2.132,2.263
23,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:1044-1199,1.599,1.898
24,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:1120-1189,1.066,1.277
25,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:1227-1183,2.132,2.623
26,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:1444-1178,1.599,1.643
27,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:1665-1157,1.599,1.665
28,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:0324-0110,1.599,1.608
29,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:1162-0807,2.664,3.100
30,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:1099-0664,2.132,2.487
31,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:1112-0646,1.599,1.703
32,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:1124-0617,2.132,2.682
33,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:1144-0552,1.599,2.243
34,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:1161-0462,2.132,2.421
35,Stack_Frontview03_Labeled_unCovered_Area_Overlay.jpg:1192-0239,2.664,2.677
