 ,Area,Mean,Min,Max,Length
1,276.575,115.333,74.610,210.960,364.672
2,64.481,90.943,65.600,121.160,87.063
3,4.263,108.735,92.917,137.001,5.356
4,21.316,110.305,97.683,125.346,28.620
5,13.322,129.337,115.947,188.833,17.935
6,8.526,104.901,88.477,139.020,11.548
7,2.664,130.562,117.469,144.031,3.645
8,12.790,95.007,63.475,138.750,16.930
9,106.047,126.771,99.000,190.860,144.138
10,5.329,93.530,53.460,142.265,6.585
11,3.730,116.112,94.160,159.875,5.188
12,336.793,116.440,87.000,138.239,452.722
13,21.849,113.959,70.633,135.000,29.856
14,2.132,107.384,95.509,122.500,2.756
15,6.395,102.314,67.000,161.000,8.054
16,4.263,99.760,76.370,141.800,5.224
17,2.132,76.812,64.000,93.250,2.555
18,2.132,78.156,63.625,96.375,2.555
19,3.197,110.562,101.375,122.875,3.833
20,5.862,85.685,78.045,106.853,7.732
21,11.724,103.042,74.403,134.000,15.243
22,2.132,86.728,80.647,92.654,2.813
23,4.263,85.080,69.222,105.028,5.666
24,2.132,88.736,69.168,117.001,2.592
25,3.197,91.787,78.555,116.806,3.893
26,9.059,92.913,74.251,140.167,11.943
27,2.132,102.107,89.862,114.333,2.468
28,3.197,102.644,93.137,113.562,4.369
29,2.132,109.489,103.204,117.500,2.738
30,2.132,91.248,80.297,104.625,2.624
31,5.329,74.058,37.875,127.166,6.902
32,2.664,104.205,89.703,124.232,3.242
33,2.664,105.288,96.873,115.000,3.633
34,2.132,87.917,74.558,105.084,2.256
35,4.796,85.225,71.894,107.916,6.404
36,3.730,108.813,86.340,139.167,5.040
37,4.263,99.884,87.400,122.820,5.591
38,8.526,88.991,75.779,122.417,11.222
39,2.664,124.598,115.387,138.472,3.367
40,4.796,81.186,60.408,109.000,6.333
41,2.132,87.844,77.625,99.125,2.784
42,3.730,97.984,91.812,105.688,4.781
43,109.777,136.015,100.340,150.888,143.860
44,7.461,92.545,84.750,100.041,10.273
45,5.862,94.326,82.342,133.719,7.923
46,3.197,96.873,89.242,109.416,4.304
47,2.664,106.873,96.758,128.000,3.264
48,2.664,61.081,38.757,105.375,3.531
49,3.197,104.869,87.532,128.000,3.935
50,1.599,111.222,107.000,118.667,2.172
51,3.730,124.598,109.731,148.220,5.014
52,19.184,104.345,94.167,158.273,25.965
53,9.059,86.761,59.297,138.126,12.212
54,2.664,123.757,107.933,149.310,3.438
55,2.132,109.906,102.363,120.500,2.910
56,3.197,88.818,70.312,121.812,3.924
57,4.796,102.602,77.747,154.938,6.128
58,6.395,104.916,77.570,164.125,8.192
59,5.329,90.621,63.580,135.471,6.934
60,3.197,105.301,94.463,122.500,4.031
61,2.132,92.649,80.200,112.500,2.871
62,2.132,129.367,119.312,146.328,2.917
63,2.664,118.282,103.312,136.625,3.211
64,2.664,133.811,127.027,144.000,3.522
65,2.664,123.879,113.377,142.558,2.975
66,11.724,112.555,68.333,155.767,15.766
67,4.796,110.866,86.778,155.466,6.545
68,3.730,91.278,67.667,124.278,4.431
