 ,Area,Mean,Min,Max,Length
1,653,103.605,56.220,133.890,625.373
2,323,127.706,67.430,141.000,311.252
3,60,106.967,73.000,177.000,60.000
4,20,107.180,62.432,171.000,17.302
5,10,119.511,79.160,175.000,8.314
6,9,28.099,9.000,89.780,8.198
7,22,59.116,46.000,80.000,20.636
8,9,99.944,62.000,148.740,7.472
9,9,77.821,40.720,130.520,8.136
10,8,112.910,87.039,143.325,7.082
11,81,118.728,81.000,185.000,81.000
12,9,103.155,66.000,156.000,7.443
13,8,63.952,27.000,110.000,6.500
14,6,39.789,28.761,59.000,5.128
15,56,126.909,101.224,136.000,51.551
16,273,114.231,85.211,191.000,263.244
17,15,109.824,85.860,161.000,14.221
18,13,101.023,28.000,181.610,11.472
19,10,52.554,28.000,99.000,8.379
20,9,108.417,77.440,169.000,8.472
21,8,97.375,62.000,153.000,8.000
22,18,116.032,80.000,187.020,16.565
23,12,132.930,68.956,193.000,10.310
24,637,134.015,102.000,174.830,631.665
25,11,82.875,59.980,108.000,9.865
26,17,116.466,98.000,141.000,14.428
27,6,60.500,46.000,86.000,4.635
28,16,81.798,47.647,139.000,14.453
29,42,99.419,68.610,140.000,40.084
30,9,63.111,53.000,79.000,9.000
31,2,100.000,97.000,103.000,1.000
32,2,130.500,128.000,133.000,1.000
33,6,100.500,86.000,131.000,6.000
34,172,122.199,88.730,150.910,169.399
35,105,119.057,64.000,190.720,103.933
36,440,111.266,91.304,195.000,429.783
37,24,139.477,77.640,173.590,23.135
