 ,Area,Mean,Min,Max,Length
1,221.686,114.005,97.000,139.000,297.963
2,79.402,93.174,43.846,112.167,107.723
3,2.664,51.917,26.817,77.666,3.298
4,4.263,59.722,41.113,88.022,5.536
5,2.132,89.127,77.284,101.750,2.451
6,2.664,94.537,73.204,118.082,3.136
7,11.724,122.776,95.550,191.750,15.818
8,2.132,126.434,111.844,149.896,2.517
9,2.132,110.780,102.844,120.010,2.783
10,3.197,87.185,61.500,121.406,3.811
11,10.125,73.613,48.760,125.527,13.591
12,3.197,85.726,67.000,113.438,4.218
13,3.730,88.433,60.794,124.330,4.732
14,3.730,91.934,69.000,123.667,4.793
15,3.197,102.360,80.121,143.669,3.898
16,2.664,86.487,64.753,118.257,3.346
17,12.257,96.541,81.377,157.690,16.506
18,7.461,82.183,64.590,101.125,9.871
19,2.132,101.761,92.747,111.625,2.340
20,5.862,82.639,63.240,118.343,7.821
21,4.263,77.720,47.230,120.670,5.580
22,64.481,109.449,68.000,201.460,85.510
23,223.285,99.070,61.000,187.340,298.709
24,2.132,61.344,47.679,75.849,2.713
25,8.526,54.145,26.034,108.194,11.262
26,3.197,63.972,50.129,87.333,4.196
27,2.664,77.157,59.406,98.875,3.485
28,3.730,90.621,84.250,97.797,4.689
29,2.132,98.823,85.732,113.719,2.668
30,3.730,109.213,89.031,151.150,4.586
31,3.197,92.507,77.338,122.008,4.303
32,2.664,95.717,87.125,104.417,3.026
33,3.197,87.189,71.387,113.750,4.198
34,3.730,66.988,35.938,100.223,5.083
35,3.730,90.262,63.278,123.342,4.877
36,3.730,85.264,65.565,118.250,4.740
37,3.197,76.438,61.525,104.080,4.183
38,1.599,93.602,86.222,103.472,1.825
39,5.329,97.952,83.703,117.666,7.213
40,4.796,112.945,97.205,136.939,6.453
41,6.395,71.792,32.704,127.000,8.080
42,2.664,79.943,64.625,105.164,2.964
43,4.263,64.777,45.061,101.832,5.163
44,4.796,89.216,74.988,126.945,6.561
45,3.197,66.510,42.333,107.223,3.893
46,1.599,114.595,110.833,120.451,2.213
47,3.197,114.772,103.980,135.960,3.697
48,3.197,127.693,111.500,154.125,4.397
49,7.993,105.637,95.760,123.590,10.948
50,1.599,140.395,135.949,147.550,1.958
51,2.664,80.750,62.750,111.250,3.650
52,11.191,98.877,89.273,125.465,15.122
53,2.664,85.422,66.620,118.406,3.565
54,3.730,79.728,57.583,116.000,5.249
55,2.664,77.154,57.499,104.500,3.562
56,2.664,69.433,56.610,92.934,3.223
57,4.263,77.207,60.667,102.466,5.704
58,5.862,91.642,67.131,110.152,7.591
59,3.197,105.350,97.952,115.750,4.187
60,3.197,115.063,79.180,180.604,4.217
61,11.191,113.046,89.782,158.548,14.818
62,3.197,112.318,101.055,132.050,4.016
63,2.132,102.427,91.314,114.053,2.650
