 ,Label,Area,Length
1,Stack_Frontview02_Labeled_unCovered_Area_Overlay.jpg:0018-0266,101.251,132.414
2,Stack_Frontview02_Labeled_unCovered_Area_Overlay.jpg:0158-1917,3.730,4.552
3,Stack_Frontview02_Labeled_unCovered_Area_Overlay.jpg:0378-1961,4.796,5.076
4,Stack_Frontview02_Labeled_unCovered_Area_Overlay.jpg:0883-1787,4.263,4.911
5,Stack_Frontview02_Labeled_unCovered_Area_Overlay.jpg:0900-1606,4.263,5.840
6,Stack_Frontview02_Labeled_unCovered_Area_Overlay.jpg:0664-0868,7.461,9.446
7,Stack_Frontview02_Labeled_unCovered_Area_Overlay.jpg:0931-0802,4.796,6.012
8,Stack_Frontview02_Labeled_unCovered_Area_Overlay.jpg:1134-0809,4.796,6.570
9,Stack_Frontview02_Labeled_unCovered_Area_Overlay.jpg:1133-0812,3.730,4.552
10,Stack_Frontview02_Labeled_unCovered_Area_Overlay.jpg:1223-1169,4.796,5.588
11,Stack_Frontview02_Labeled_unCovered_Area_Overlay.jpg:1438-1158,4.796,5.269
12,Stack_Frontview02_Labeled_unCovered_Area_Overlay.jpg:1933-1358,2.132,2.920
13,Stack_Frontview02_Labeled_unCovered_Area_Overlay.jpg:1896-1158,4.263,5.297
14,Stack_Frontview02_Labeled_unCovered_Area_Overlay.jpg:1973-0449,3.197,4.380
15,Stack_Frontview02_Labeled_unCovered_Area_Overlay.jpg:1638-0071,3.197,3.822
16,Stack_Frontview02_Labeled_unCovered_Area_Overlay.jpg:1806-0085,2.132,2.920
17,Stack_Frontview02_Labeled_unCovered_Area_Overlay.jpg:1898-0096,3.197,3.361
18,Stack_Frontview02_Labeled_unCovered_Area_Overlay.jpg:0904-0416,0.533,0.544
19,Stack_Frontview02_Labeled_unCovered_Area_Overlay.jpg:0044-0471,2.664,3.371
20,Stack_Frontview02_Labeled_unCovered_Area_Overlay.jpg:0003-1802,15.454,20.558
21,Stack_Frontview02_Labeled_unCovered_Area_Overlay.jpg:0722-0003,27.711,36.309
