 ,Label,Area,Length
1,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0015-0149,8.526,9.405
2,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0023-0166,74.073,91.241
3,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0021-0189,46.895,59.210
4,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0096-0269,357.043,429.057
5,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0150-0420,389.550,469.278
6,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0135-0511,19.184,21.484
7,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0062-0220,60.751,70.286
8,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0091-0253,85.264,102.977
9,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0096-0312,46.362,57.864
10,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0118-0384,36.770,46.218
11,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0114-0405,22.382,25.775
12,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0015-0149,8.526,9.405
13,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0132-0490,37.303,44.794
14,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0166-0602,324.536,395.937
15,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0178-0745,204.634,245.463
16,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0155-0621,53.290,65.561
17,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0149-0648,30.375,39.079
18,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0159-0730,35.704,41.895
19,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0168-0788,44.764,57.689
20,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0185-0830,100.185,124.452
21,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0161-0837,19.717,26.153
22,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0187-0857,60.218,69.576
23,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0188-0893,90.593,111.973
24,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0202-0966,155.607,195.332
25,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0178-0936,27.711,31.897
26,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0194-0997,43.698,55.090
27,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0213-1052,65.547,81.229
28,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0280-0953,273.911,339.901
29,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0315-0901,200.370,243.410
30,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0364-0922,29.842,35.710
31,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0385-0885,106.047,128.984
32,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0400-0876,109.245,132.755
33,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0475-0844,155.607,181.562
34,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0443-0878,52.757,64.249
35,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0478-0877,32.507,37.931
36,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0587-0828,175.857,215.113
37,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0574-0851,29.309,34.667
38,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0587-0849,19.717,25.520
39,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0605-0830,55.954,71.366
40,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0742-0794,261.121,325.539
41,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0785-0801,52.224,63.528
42,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0716-0810,58.619,68.868
43,Stack_Frontview04_Labeled_Covered_Area_Overlay.jpg:0694-0820,46.362,55.909
