 ,Area,Mean,Min,Max,Length
1,44,191.441,184.140,195.760,42.928
2,148,134.164,69.220,171.350,146.493
3,97,153.812,87.650,173.730,96.295
4,9,197.287,183.150,209.000,8.118
5,36,206.854,177.430,236.000,35.244
6,24,225.757,201.919,236.780,23.287
7,158,231.361,186.500,255.000,156.901
8,259,207.499,76.500,255.000,256.984
9,28,254.433,252.297,255.000,27.119
10,32,232.672,201.000,246.314,30.817
11,156,154.848,106.540,185.290,154.349
12,78,239.167,228.000,255.000,77.289
13,29,209.546,187.470,232.000,28.428
14,145,248.642,209.779,255.000,144.345
15,83,228.234,181.130,255.000,82.709
16,153,234.789,190.889,255.000,150.935
17,138,183.095,146.530,231.280,135.953
18,190,180.625,153.000,197.000,189.007
19,197,178.923,129.828,195.260,195.654
20,234,180.536,156.754,195.000,230.784
21,172,197.464,186.878,205.890,169.977
22,66,195.902,179.773,205.185,64.876
23,34,203.093,187.860,215.460,33.576
24,26,223.599,213.750,230.159,25.215
25,153,251.658,231.840,255.000,151.512
26,81,254.339,251.000,255.000,80.704
27,86,251.286,218.490,255.000,85.640
28,64,239.802,219.160,255.000,62.751
29,46,194.810,159.540,243.500,45.532
30,175,163.778,124.170,206.250,173.351
31,246,213.131,126.040,255.000,244.326
32,65,213.535,163.630,240.000,64.324
33,100,184.426,145.550,207.500,98.417
34,48,183.485,165.380,197.690,47.674
35,63,145.777,125.360,179.500,61.901
36,205,119.763,44.823,194.500,202.689
37,132,155.552,108.213,186.700,130.127
38,54,192.562,166.885,200.700,53.561
39,224,197.542,182.240,209.910,221.850
40,131,198.521,166.604,217.390,129.446
41,110,254.664,252.246,255.000,108.593
42,51,254.511,252.120,255.000,50.466
43,99,227.702,185.078,251.750,97.262
44,64,175.116,155.410,192.197,62.547
45,175,182.034,156.000,214.130,173.600
46,97,233.348,125.040,255.000,92.319
47,126,234.611,151.000,255.000,114.041
